model_type,prob_threshold,regime_filter,n_signals,direction_accuracy,auc,wilson_lower,wilson_upper,sharpe,return_pct
logistic,0.7,none,6917,0.62230808858114,0.5418159498926093,0.610889991453212,0.6337334419939233,-5.214123439342906,-0.06795933832256708
logistic,0.7,{'vol': 'median'},4266,0.6213620137041337,0.5418159498926093,0.6067672614356144,0.6358646980859312,-5.043153309115583,-0.13590804332595535
rf,0.7,{'vol': 'median'},3089,0.6064978318640397,0.5641033309981035,0.588994331598068,0.6234316878883998,-4.560116182580802,-0.29213972711331443
rf,0.65,{'vol': 'median'},4500,0.5875724184897004,0.5641033309981035,0.5731038328999916,0.601857920795116,-6.043501917279561,-0.2410606892211832
logistic,0.65,none,10716,0.5865860769498241,0.5418159498926093,0.5772463679602278,0.595890520969488,-7.820072784491749,-0.08690407953995687
logistic,0.65,{'vol': 'median'},6356,0.5815488062338273,0.5418159498926093,0.5693244174163395,0.593572725021564,-7.246567078757601,-0.033234620856034916
rf,0.62,{'vol': 'median'},5872,0.5762717312959605,0.5641033309981035,0.5636095294412649,0.5888792683384885,-8.510107455645358,-0.1786366399519695
rf,0.7,none,5134,0.567276366543456,0.5641033309981035,0.5536009031602632,0.5806967402236917,-5.6866419885982555,-0.20841601902335136
gbm,0.7,{'vol': 'median'},5205,0.5648298196416649,0.5542438951609514,0.5513298897714739,0.5782574676738078,-5.558296379296029,-0.19302193513806687
logistic,0.62,none,13982,0.5621809640757899,0.5418159498926093,0.553911965598189,0.5703565673404469,-8.664826901929883,-0.07530000183157812
logistic,0.62,{'vol': 'median'},8129,0.5594883281996827,0.5418159498926093,0.548660758126099,0.5702398751760801,-8.613300262284355,-0.00676154454329606
rf,0.58,{'vol': 'median'},8611,0.553617466267673,0.5641033309981035,0.5430728328114345,0.5640678504399033,-20.318676108730745,-0.08647629165291397
gbm,0.65,{'vol': 'median'},7099,0.5385485831766755,0.5542438951609514,0.5269123477678569,0.5500990853566577,-6.878208868992161,-0.2603675057801461
rf,0.65,none,8186,0.5346911969314421,0.5641033309981035,0.5238743925145032,0.545479819390081,-6.916683988584209,-0.2660801643579063
gbm,0.62,{'vol': 'median'},8427,0.5343737277238375,0.5542438951609514,0.5236905150666182,0.544985903868318,-7.732797666651308,-0.24912652989577222
gbm,0.7,none,8552,0.5340345433318407,0.5542438951609514,0.5234417489481169,0.5445819519118358,-5.085896727788888,-0.1957029277963307
logistic,0.58,{'vol': 'median'},11134,0.5332095996329156,0.5418159498926093,0.523954843544956,0.5424853192761759,-10.522667307912565,-0.08282371237301245
gbm,0.58,{'vol': 'median'},11253,0.5308246935497865,0.5542438951609514,0.521562255874199,0.5400003061051184,-9.87312088843898,-0.22591379646764084
logistic,0.58,none,19785,0.5263922730643812,0.5418159498926093,0.5194470990689378,0.5333604390668635,-11.526446374467952,-0.11306196038605609
rf,0.58,none,16611,0.5258073720465127,0.5641033309981035,0.5181975802133958,0.5333828096521376,-10.694072550169295,-0.12446474735983369
rf,0.62,none,11175,0.5247966490917791,0.5641033309981035,0.5155663969413515,0.5340809660742565,-7.824347803729066,-0.17359730074763116
gbm,0.62,none,15398,0.513824271699513,0.5542438951609514,0.5059360891319108,0.5217229411950134,-6.909680000178415,-0.2089590866272733
gbm,0.65,none,12434,0.513138138009931,0.5542438951609514,0.504321087221593,0.5218892484768739,-6.039823599252652,-0.22093306093132914
gbm,0.58,none,21333,0.5125031910723982,0.5542438951609514,0.505783301072719,0.5191969660876604,-8.621182661536603,-0.19001581271568577
